name,count,type,is_ambiguous
!,26888,general,False
!!,7461,general,True
!?,15891,general,False
(konoshige),0,general,False
(senran_kagura),0,character,False
+++,9644,general,False
+_+,22960,general,False
...,29121,general,False
._.,1275,general,False
.com_(bot_com1),93,artist,False
0-den,189,artist,False
00,42,artist,False
0621ff,11,general,False
07touka25,79,artist,False
0801_nu,2,general,False
09rune,4,general,False
0_0,6281,general,False
1-4daithi,65,artist,False
1-up_mushroom,159,general,False
1.0-tan,17,character,False
1006kbps,37,artist,False
100_percent_orange_juice,861,copyright,False
106,2,general,False
1099209,1,artist,False
10mo,297,artist,False
10s,843753,general,False
15taruhito,4,artist,False
1641_(chfhrtor94),60,artist,False
1700703,3,artist,False
17375735,2,artist,False
1777_kaki,18,artist,False
18660081532,1,general,False
1980s_(style),9245,metadata,False
1990s_(style),67306,general,False
1boy,1358834,general,False
1gir,7,deprecated,False
1girl,5734305,general,False
1girls,5209597,deprecated,False
1gsolo,2,deprecated,False
1hao_(@cerbero64),38,artist,False
1jumangoku,93,artist,False
1other,33888,general,False
2007,1127,general,False
2013,3478,general,False
2019,4481,general,False
2020,4910,general,False
2021,5972,general,False
2022,5757,general,False
2023,3814,general,False
2034,8,general,False
20516334,1,artist,False
2080167236,7,general,False
2125303,2,artist,False
216,126,artist,False
21syn_q_(gohan),4,artist,False
244_mllnr,3,artist,False
25-ji_miku,316,character,False
29hyeon,38,artist,False
2boys,284267,general,True
2equal8,420,artist,False
2found_2,2,general,False
2girls,857927,general,True
2koma,10588,general,False
2others,4390,general,False
2zuz4hru,71,artist,False
3.1-tan,506,character,False
328707,1,artist,False
33_gaff,158,artist,False
361_(kyuu_yagami),1,artist,False
3735geriragouki,36,artist,False
3737-3737,25,artist,False
39,1882,general,False
3:,5295,general,False
3boys,74130,general,False
3d,46258,general,True
3d_(artwork),79047,deprecated,False
3dcg,33,general,False
3girls,204374,general,False
3kuma,65,artist,False
3ma_can_omochi,73,general,False
3other,1,general,False
3others,1518,general,False
3shine_02,11,general,False
3tn_63,14,general,False
404_(girls'_frontline),222,general,False
404_logo_(girls'_frontline),168,general,False
44fufuc,2,artist,False
460385,4,artist,False
4690_(tkpbsk),129,artist,False
4b-enpitsu,92,artist,False
4boys,32589,general,False
4girls,89156,general,False
4k3b1,1,artist,False
4kihoshi,1,general,False
4nimenut,6,artist,False
4qw5,175,artist,False
5-volt,136,character,False
500_dollar_four_foot_tall_mareep_(meme),100,general,False
50bmg,5,artist,False
5_(y5),2,general,False
5_horulu,5,general,False
5boys,15853,general,False
5girls,50102,general,False
5health,51,artist,False
6+boys,29561,general,False
6+girls,73394,general,False
6+others,1365,general,False
69,6975,general,False
6938465,1,artist,False
6_9,88,general,False
6ft_tall_lesbian,1,general,False
6girls,33,deprecated,False
6u_(eternal_land),611,artist,False
7-eleven,237,copyright,False
72zzhousen,6,artist,False
750x077,23,artist,False
8043083,1,artist,False
80isiiii,68,artist,False
87coco,1,general,False
87ilil,12,general,False
90s,66747,deprecated,False
958547,2,artist,False
96yottea,42,artist,False
99noe_honoka,26,artist,False
9a-91_(bullets_cafe)_(girls'_frontline),10,character,False
9a-91_(girls'_frontline),691,character,False
9wa,61,artist,False
:/,7170,general,False
:3,82841,general,False
:<,32077,general,False
:>,11630,general,False
:>=,9537,general,False
:c,590,general,False
:d,396123,general,False
:i,2422,general,False
:o,152071,general,False
:p,36767,general,False
:q,24033,general,False
:s,479,general,False
:t,17606,general,False
:|,5662,general,False
;),21012,general,False
;3,2117,general,False
;d,46508,general,False
;o,7555,general,False
;p,6008,general,False
;q,3378,general,False
<key>_(blue_archive),243,character,False
<|>_<|>,338,general,False
=3,4473,general,False
=_=,17632,general,False
=w=,9,general,False
>:(,4352,general,False
>:),10430,general,False
>:<,1218,general,False
>_<,43878,general,False
>_o,2315,general,False
?,45321,general,False
?!,19,deprecated,False
